date,station_id,station_name,total_delay_minutes,train_count,avg_delay_minutes
2025-12-01,30,Abaliget,2,13,0.15384615384615385
2025-12-01,32,Abaújszántó,2,9,0.2222222222222222
2025-12-01,33,Abaújszántói fürdő,2,14,0.14285714285714285
2025-12-01,34,Abda,24,45,0.5333333333333333
2025-12-01,35,Abony,5,49,0.10204081632653061
2025-12-01,37,Abonyi út,7,14,0.5
2025-12-01,38,Abádszalók,2,11,0.18181818181818182
2025-12-01,39,Acsa-Erdőkürt,9,17,0.5294117647058824
2025-12-01,40,Acsád,32,35,0.9142857142857143
2025-12-01,42,Adony,24,36,0.6666666666666666
2025-12-01,44,Adács,10,21,0.47619047619047616
2025-12-01,45,Agárd,12,51,0.23529411764705882
2025-12-01,47,Ajak,22,39,0.5641025641025641
2025-12-01,48,Ajka,17,28,0.6071428571428571
2025-12-01,49,Ajka-Gyártelep,5,11,0.45454545454545453
2025-12-01,52,Akadémiaújtelep,43,79,0.5443037974683544
2025-12-01,54,Alagimajor,14,26,0.5384615384615384
2025-12-01,55,Alap,3,11,0.2727272727272727
2025-12-01,57,Albertfalva,23,36,0.6388888888888888
2025-12-01,60,Albertirsa,5,51,0.09803921568627451
2025-12-01,63,Algyő,17,64,0.265625
2025-12-01,66,Almás,6,18,0.3333333333333333
2025-12-01,67,Almásfüzitő,13,25,0.52
2025-12-01,68,Almásfüzitő felső,7,23,0.30434782608695654
2025-12-01,72,Alsóboldva,11,19,0.5789473684210527
2025-12-01,73,Alsóbélatelep,7,16,0.4375
2025-12-01,74,Alsógalla,40,62,0.6451612903225806
2025-12-01,75,Alsógyenes,5,18,0.2777777777777778
2025-12-01,76,Alsógöd,24,57,0.42105263157894735
2025-12-01,78,Alsóméntelek,0,4,0
2025-12-01,80,Alsónyék,7,19,0.3684210526315789
2025-12-01,81,Alsórönök,26,26,1
2025-12-01,82,Alsóörs,0,23,0
2025-12-01,83,Alsóúrrét,13,16,0.8125
2025-12-01,84,Ambrózfalva,0,7,0
2025-12-01,86,Andocs,5,9,0.5555555555555556
2025-12-01,88,Andornaktálya,5,13,0.38461538461538464
2025-12-01,89,Andráshida,1,16,0.0625
2025-12-01,92,Angyalföld,46,54,0.8518518518518519
2025-12-01,99,Apafa,18,40,0.45
2025-12-01,100,Apagy,1,5,0.2
2025-12-01,101,Apc-Zagyvaszántó,32,15,2.1333333333333333
2025-12-01,106,Aquincum,93,127,0.7322834645669292
2025-12-01,109,Aradványpuszta,0,18,0
2025-12-01,111,Aranyosapáti,0,8,0
2025-12-01,112,Aranyvölgy,35,63,0.5555555555555556
2025-12-01,118,Aszaló,6,13,0.46153846153846156
2025-12-01,120,Aszód,90,88,1.0227272727272727
2025-12-01,121,Aszófő,0,10,0
2025-12-01,128,Babócsa,2,15,0.13333333333333333
2025-12-01,130,Badacsony,1,10,0.1
2025-12-01,131,Badacsonylábdihegy,1,7,0.14285714285714285
2025-12-01,132,Badacsonytomaj,43,15,2.8666666666666667
2025-12-01,133,Badacsonytördemic-Szigliget,0,9,0
2025-12-01,134,Badacsonyörs,4,15,0.26666666666666666
2025-12-01,135,Bag,49,81,0.6049382716049383
2025-12-01,136,Bagimajor,1,23,0.043478260869565216
2025-12-01,137,Bagod,2,5,0.4
2025-12-01,138,Baja,36,34,1.0588235294117647
2025-12-01,139,Baja-Dunafürdő,3,8,0.375
2025-12-01,147,Bajánsenye,3,2,1.5
2025-12-01,148,Bak,1,6,0.16666666666666666
2025-12-01,150,Bakonygyirót,10,26,0.38461538461538464
2025-12-01,152,Bakonyszentlászló,6,18,0.3333333333333333
2025-12-01,156,Bakonysárkány,4,16,0.25
2025-12-01,158,Baktalórántháza,1,11,0.09090909090909091
2025-12-01,160,Baktüttös,1,1,1
2025-12-01,161,Balassagyarmat,7,14,0.5
2025-12-01,163,Balatonakali-Dörgicse,5,9,0.5555555555555556
2025-12-01,164,Balatonakarattya,10,27,0.37037037037037035
2025-12-01,165,Balatonaliga,4,17,0.23529411764705882
2025-12-01,166,Balatonalmádi,3,22,0.13636363636363635
2025-12-01,167,Balatonarács,15,19,0.7894736842105263
2025-12-01,168,Balatonberény,18,31,0.5806451612903226
2025-12-01,169,Balatonboglár,25,27,0.9259259259259259
2025-12-01,170,Balatonederics,0,9,0
2025-12-01,171,Balatonfenyves,2,33,0.06060606060606061
2025-12-01,173,Balatonfenyves alsó,7,16,0.4375
2025-12-01,174,Balatonföldvár,1,30,0.03333333333333333
2025-12-01,175,Balatonfüred,22,27,0.8148148148148148
2025-12-01,178,Balatonfőkajár felső,6,16,0.375
2025-12-01,179,Balatonfűzfő,28,23,1.2173913043478262
2025-12-01,180,Balatongyörök,13,29,0.4482758620689655
2025-12-01,182,Balatonkenese,1,22,0.045454545454545456
2025-12-01,184,Balatonlelle,1,29,0.034482758620689655
2025-12-01,185,Balatonlelle felső,1,1,1
2025-12-01,186,Balatonmáriafürdő,0,36,0
2025-12-01,188,Balatonrendes,2,14,0.14285714285714285
2025-12-01,189,Balatonszemes,2,24,0.08333333333333333
2025-12-01,191,Balatonszentgyörgy,84,31,2.7096774193548385
2025-12-01,194,Balatonszepezd,1,7,0.14285714285714285
2025-12-01,195,Balatonszárszó,0,29,0
2025-12-01,196,Balatonszéplak alsó,1,2,0.5
2025-12-01,197,Balatonszéplak felső,1,2,0.5
2025-12-01,198,Balatonudvari,1,11,0.09090909090909091
2025-12-01,199,Balatonvilágos,8,17,0.47058823529411764
2025-12-01,212,Balástya,0,1,0
2025-12-01,218,Barcs,23,13,1.7692307692307692
2025-12-01,219,Barcs felső,5,10,0.5
2025-12-01,222,Barosstelep,63,114,0.5526315789473685
2025-12-01,224,Bashalom,0,22,0
2025-12-01,229,Becehegy,0,1,0
2025-12-01,230,Becske alsó,3,13,0.23076923076923078
2025-12-01,231,Belecska,5,7,0.7142857142857143
2025-12-01,232,Beled,4,13,0.3076923076923077
2025-12-01,233,Beleg,16,16,1
2025-12-01,235,Belsőbáránd,2,8,0.25
2025-12-01,236,Belsőkamaráspuszta,13,15,0.8666666666666667
2025-12-01,251,Berettyóújfalu,18,23,0.782608695652174
2025-12-01,254,Berzence,2,8,0.25
2025-12-01,256,Bezenye,2,4,0.5
2025-12-01,257,Biatorbágy,22,45,0.4888888888888889
2025-12-01,259,Bicere,3,6,0.5
2025-12-01,260,Bicske,8,50,0.16
2025-12-01,261,Bicske alsó,53,69,0.7681159420289855
2025-12-01,263,Bicsérd,39,12,3.25
