station_name,lat,lon,county,region,location_id,station_id
1126+95,46.8449936,17.4734781,Veszprém,Közép-Dunántúl,3,1
298,47.4516589,19.5273854,Pest,Pest,7,2
299,47.4517475,19.528725,Pest,Pest,7,3
468,47.4097209,19.7375095,Heves,Észak-Magyarország,0,4
519,47.2868277,20.0661268,Jász-Nagykun-Szolnok,Észak-Alföld,1,5
520,47.2859512,20.0666262,Jász-Nagykun-Szolnok,Észak-Alföld,1,6
A,47.533153,19.0672977,Budapest,Budapest,6,7
AB Heiligenkreuz,46.9617723,16.274621,Vas,Nyugat-Dunántúl,4,8
AS118,48.1793621,21.3588583,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,9
AS126,48.1840703,21.3645915,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,10
AS132,48.1885166,21.3699081,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,11
AS136,48.1912404,21.3732801,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,12
AS141,48.1945182,21.377219,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,13
AS144,48.1964676,21.3798441,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,14
AS151,48.2011708,21.3869322,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,15
AS173,48.2181178,21.4020615,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,16
AS187,48.2285195,21.4117716,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,17
AS199,48.2390005,21.4185861,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,18
AS210,48.2464638,21.4260327,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,19
AS215,48.2483877,21.4332709,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,20
AS246,48.2601967,21.4642295,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,21
AS259,48.2638486,21.4780809,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,22
AS265,48.2674211,21.4845205,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,23
AS284,48.2786177,21.5046398,Szabolcs-Szatmár-Bereg,Észak-Alföld,1,24
AS29,48.0965179,20.8925796,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,25
AS293,48.2845108,21.5116436,Szabolcs-Szatmár-Bereg,Észak-Alföld,1,26
AS348,48.3196196,21.5574597,Szabolcs-Szatmár-Bereg,Észak-Alföld,1,27
AS922,46.8236683,17.6166352,Veszprém,Közép-Dunántúl,3,28
Aba-Sárkeresztúr,47.023785,18.5425663,Fejér,Közép-Dunántúl,3,29
Abaliget,46.152688,18.0753148,Baranya,Dél-Dunántúl,5,30
Abaújkér,48.3088046,21.1980659,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,31
Abaújszántó,48.2864991,21.181208,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,32
Abaújszántói fürdő,48.268671,21.1794975,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,33
Abda,47.6906417,17.5406211,Komárom-Esztergom,Közép-Dunántúl,3,34
Abony,47.1730116,20.0160475,Jász-Nagykun-Szolnok,Észak-Alföld,1,35
Abony elágazás,47.1798347,19.8315141,Jász-Nagykun-Szolnok,Észak-Alföld,1,36
Abonyi út,47.2066028,20.1250245,Jász-Nagykun-Szolnok,Észak-Alföld,1,37
Abádszalók,47.4551561,20.5533388,Heves,Észak-Magyarország,0,38
Acsa-Erdőkürt,47.8009698,19.386116,Nógrád,Észak-Magyarország,0,39
Acsád,47.3082805,16.7346998,Győr-Moson-Sopron,Nyugat-Dunántúl,4,40
Adonis utca,47.5033564,18.9900534,Budapest,Budapest,6,41
Adony,47.1061519,18.8478205,Fejér,Közép-Dunántúl,3,42
Adony-Dunapart,47.1114892,18.8809516,Fejér,Közép-Dunántúl,3,43
Adács,47.6965615,19.975556,Heves,Észak-Magyarország,0,44
Agárd,47.1977351,18.6049158,Fejér,Közép-Dunántúl,3,45
Agárdytelep,46.8193004,19.38545,Bács-Kiskun,Dél-Alföld,2,46
Ajak,48.1867018,22.0489842,Szabolcs-Szatmár-Bereg,Észak-Alföld,1,47
Ajka,47.1059403,17.5728618,Veszprém,Közép-Dunántúl,3,48
Ajka-Gyártelep,47.0967711,17.5551869,Veszprém,Közép-Dunántúl,3,49
Ajtósi Dürer sor,47.5135342,19.0961055,Budapest,Budapest,6,50
Akadémia,47.5192962,18.9941126,Budapest,Budapest,6,51
Akadémiaújtelep,47.4857781,19.2227561,Budapest,Budapest,6,52
Akácfa utca,47.4259521,19.1141477,Budapest,Budapest,6,53
Alagimajor,47.6019405,19.1541844,Budapest,Budapest,6,54
Alap,46.8320028,18.6575254,Bács-Kiskun,Dél-Alföld,2,55
Albert Flórián út,47.4725099,19.0956319,Budapest,Budapest,6,56
Albertfalva,47.4397591,19.034553,Budapest,Budapest,6,57
Albertfalva kitérő,47.4526966,19.0387307,Budapest,Budapest,6,58
Albertfalva utca,47.4479575,19.0375304,Budapest,Budapest,6,59
Albertirsa,47.2400897,19.6066242,Pest,Pest,7,60
Alcsútdoboz Arborétum,47.4239172,18.5834951,Komárom-Esztergom,Közép-Dunántúl,3,61
Aldebrő,47.7842585,20.2242571,Heves,Észak-Magyarország,0,62
Algyő,46.3367367,20.1969677,Bács-Kiskun,Dél-Alföld,2,63
Almamellék,46.1676783,17.8892697,Baranya,Dél-Dunántúl,5,64
Almár,47.95619,20.3569681,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,65
Almás,46.1162156,19.3288165,Bács-Kiskun,Dél-Alföld,2,66
Almásfüzitő,47.7251715,18.2619507,Komárom-Esztergom,Közép-Dunántúl,3,67
Almásfüzitő felső,47.7316964,18.2137719,Komárom-Esztergom,Közép-Dunántúl,3,68
Almásfüzitő-KEG kiágazás,47.7246701,18.2893037,Komárom-Esztergom,Közép-Dunántúl,3,69
Almásfüzítő forgalmi iroda,47.7255189,18.2617843,Komárom-Esztergom,Közép-Dunántúl,3,70
Alsó-Majláth,48.1056794,20.6812789,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,71
Alsóboldva,48.2125651,20.7921203,Borsod-Abaúj-Zemplén,Észak-Magyarország,0,72
Alsóbélatelep,46.7241454,17.5163159,Veszprém,Közép-Dunántúl,3,73
Alsógalla,47.5633493,18.4245723,Komárom-Esztergom,Közép-Dunántúl,3,74
Alsógyenes,46.7658516,17.2763741,Veszprém,Közép-Dunántúl,3,75
Alsógöd,47.6758133,19.1342387,Pest,Pest,7,76
Alsóhegy utca,47.4829329,19.0300796,Budapest,Budapest,6,77
Alsóméntelek,46.9616449,19.5789774,Bács-Kiskun,Dél-Alföld,2,78
Alsónemesapáti,46.8540081,16.9365484,Vas,Nyugat-Dunántúl,4,79
Alsónyék,46.1993602,18.7380584,Bács-Kiskun,Dél-Alföld,2,80
Alsórönök,46.9642392,16.3781106,Vas,Nyugat-Dunántúl,4,81
Alsóörs,46.9850792,17.9753834,Veszprém,Közép-Dunántúl,3,82
Alsóúrrét,46.8983776,19.779945,Bács-Kiskun,Dél-Alföld,2,83
Ambrózfalva,46.3530335,20.7406009,Békés,Dél-Alföld,2,84
Andaházi utca,47.5453764,21.6263414,Hajdú-Bihar,Észak-Alföld,1,85
Andocs,46.6474005,17.8923913,Veszprém,Közép-Dunántúl,3,86
Andor utca,47.4557256,19.0398227,Budapest,Budapest,6,87
